"Input"	"Output"	"Source_1"	"Context_1"	"Source_2"	"Context_2"	"Source_3"	"Context_3"	"Source_4"	"Context_4"	"Source_5"	"Context_5"
"プレストレストコンクリート床版において、プレストレッシングにより生じる不静定力を考慮することを原則とするのはなぜですか？"	"PC鋼材の偏心量等によって大きな不静定力が生じることがあるため、不静定力による応力度の照査を行うことが原則とされています。"	"国総研＿舗装設計ks0285004.pdf"	"コンクリート版厚は，設計期間において，輪荷重によりコンクリート版に生じる応力の繰り返し作用に対して，舗装の破壊規準として設定される疲労度が１以下を満足するように設計している。[5, 6]"	"アスファルト舗装材料の種別と特性"	"荷重支持機構|各層のたわみ性による荷重分散（Flexible Pavement）|コンクリート版の曲げ剛性による支持（Rigid Pavement）[7]...維持修繕|簡易な工法（切削オーバーレイ等）で補修可能であり、埋設管工事等の復旧も容易|大規模な打ち替えが必要となり、維持修繕や埋設物対応が困難[7]"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"	"道路構造令に基づく設計速度80km/hの包括的研究報告書.pdf"	"標準値 | 280 m | 約1.11倍 (vs 252m) | 原則として確保すべき値。 |"	"04_舗装（愛知_設計手引き）.pdf"	"CBRが3未満の場合、安定処理した層の下から 20cm については、在来路床と安定した層のCBRの値の平均値を設計に用いる。なおCBRが3以上の場合は、このような低減は行なわない。"
"鉄筋コンクリート床版の車道部分の最小全厚は、一般的な条件下にある橋の床版厚の最小値の基準を示したものですが、特殊な条件下にある橋に対してはどのように定めるべきですか？"	"大型車の交通量が多い橋や、床版を支持する桁の剛性が著しく異なるために大きな曲げモーメントが付加される橋等、特殊な条件下にある橋に対しては、これらの影響を考慮して床版厚を増加させて設計するのが合理的とされています。"	"国総研＿舗装設計ks0285004.pdf"	"表-A. 2 コンクリート版厚の参考値|荷重の区分: CP4|コンクリート<br>版厚 (cm): **35**|"	"国総研＿舗装設計ks0285004.pdf"	"コンクリート版厚の照査は、載荷重の作用回数を考慮するために道路の舗装に用いられている舗装設計施工指針による方法を準用する。"	"福島県＿道路設計マニュアル506580.pdf"	"最小可能施工厚さは仕上がり厚で、骨材最大粒径が**20mmの場合5cm**、骨材最大粒径が**13mmの場合4cm**を標準とする。"	"04_舗装（愛知_設計手引き）.pdf"	"表3.11 表層と基層の最小厚(交通区分 N7~N5)
交通区分：N6
表層と基層を加えた最小厚さ(cm)：15 (10) (※)
[※] ( )内は、**上層路盤に瀝青安定処理工法およびセメント・瀝青安定処理工法を用いる場合の最小厚さ**を示す。"	"福島県＿道路設計マニュアル506580.pdf"	"最小可能施工厚さは仕上がり厚で、骨材最大粒径が**20mmの場合5cm**、骨材最大粒径が**13mmの場合4cm**を標準とする[18]。"
"床版に用いる鉄筋の標準的な直径は何mmと規定されていますか？"	"鉄筋の直径は13, 16, 19及び22mmを標準とすると規定されています。"	"道路構造令に基づく設計速度80km/hの包括的研究報告書.pdf"	"標準値 | 280 m | 約1.11倍 (vs 252m) | 原則として確保すべき値。 |"	"国総研＿舗装設計ks0285004.pdf"	"$sigma$: コンクリート版の直角隅角部の最大応力度 $(N/mm^{2})$"	"道路構造令に基づく設計速度60km/hの道路平面線形設計に関する包括的調査報告書.pdf"	"標準値 150 m 通常の設計において確保すべき値。快適な走行性と 十分な安全率を担保する。地形的制約がない限り この値以上を採用することが原則とされる。"	"福島県＿道路設計マニュアル506580.pdf"	"最小可能施工厚さは仕上がり厚で、骨材最大粒径が**20mmの場合5cm**、骨材最大粒径が**13mmの場合4cm**を標準とする。"	"福島県＿道路設計マニュアル506580.pdf"	"最小可能施工厚さは仕上がり厚で、骨材最大粒径が**20mmの場合5cm**、骨材最大粒径が**13mmの場合4cm**を標準とする[18]。"
"床版の鉄筋の中心間隔は、どのような範囲とすべきですか？"	"100mm以上かつ300mm以下とするとされています。ただし、床版の支間方向の引張主鉄筋の中心間隔は床版の厚さを超えてはなりません。"	"国総研＿舗装設計ks0285004.pdf"	"表-A. 2 コンクリート版厚の参考値|荷重の区分: CP4|コンクリート<br>版厚 (cm): **35**|"	"国総研＿舗装設計ks0285004.pdf"	"コンクリート舗装については、路床の設計支持力係数に応じた路盤厚を示すとともに、各種荷役機械を4区分の設計荷重に区分し、それぞれの区分に対応するコンクリート版厚を参考値として与えている。[43]"	"福島県＿道路設計マニュアル506580.pdf"	"設計区分 II|透水性アスファルト混合物: 10cm, 路盤(粒状路盤): 15cm, フィルター層(砂): 3 cm|路床|"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"02_道路幅員（愛知_設計手引き）.pdf"	"中央帯の中央帯の幅員は,道路構造令では、最低幅員として1.0mと規定されているが、本書では植栽等を考慮した施設帯幅員として1.0m を確保することを基本に、第4種の道路の中央帯幅員は2.0mを標準とする。 [13]"
"プレストレストコンクリートT桁橋の床版場所打ち部において、耐久性上の弱点となることを防ぐためにどのような配慮が必要ですか？"	"橋軸方向にはプレストレスが導入されず耐久性上の弱点となることがあるため、その影響を生じさせないよう設計を行う必要があります。例えば、場所打ち部に膨張材などを添加した収縮が少ないコンクリートを用い、床版の打継目面に適度な凹凸を設けたうえで、テーパを設けることなどが考えられます。"	"国総研＿舗装設計ks0285004.pdf"	"コンクリート版厚は，設計期間において，輪荷重によりコンクリート版に生じる応力の繰り返し作用に対して，舗装の破壊規準として設定される疲労度が１以下を満足するように設計している。[5, 6]"	"アスファルト舗装材料の種別と特性"	"荷重支持機構|各層のたわみ性による荷重分散（Flexible Pavement）|コンクリート版の曲げ剛性による支持（Rigid Pavement）[7]...維持修繕|簡易な工法（切削オーバーレイ等）で補修可能であり、埋設管工事等の復旧も容易|大規模な打ち替えが必要となり、維持修繕や埋設物対応が困難[7]"	"アスファルト舗装材料の種別と特性.docx"	"設計上の注意点 : 母体空隙率が低すぎると（**20%以下**）、**セメントミルクが十分に浸透せず**、層内で**剥離や破損が生じるリスク**があるため、配合設計と施工管理が重要である[33]。"	"福島県＿道路設計マニュアル506580.pdf"	"軟弱路床に路盤を施工する場合、施工性が悪く、また、路盤材の食込み等によるロス率が高いため設計CBRは3以上が望ましい。3未満の場合は、**フィルター層を厚くする**などの対策を施すことが必要である。[42]"	"04_舗装（愛知_設計手引き）.pdf"	"路床の設計 CBRが**3未満**の場合は軟弱路床対策を行なうこととする。"
"床版のハンチは、どのような目的で設けられますか？"	"床版と支持桁に応力をなめらかに伝えるために設けられます。"	"国総研＿舗装設計ks0285004.pdf"	"コンクリート版厚は，設計期間において，輪荷重によりコンクリート版に生じる応力の繰り返し作用に対して，舗装の破壊規準として設定される疲労度が１以下を満足するように設計している。[5, 6]"	"国総研＿舗装設計ks0285004.pdf"	"路床の設計CBRが2以上3未満の場合は、**必要に応じ良質の材料で置き換えるか遮断層を設ける**、また、2未満の場合は、置き換えて舗装厚さを別途設定する。[56], [57]"	"04_舗装（愛知_設計手引き）.pdf"	"路床は、舗装の厚さを決定する基盤となるもので、路床土の支持力は**CBRによって判定する**。"	"04_舗装（愛知_設計手引き）.pdf"	"設計 CBR が3以上の場合においても、安定処理工法による路床構築の検討を行なうこととする。
軟弱路床対策工法には次のものがある。"	"福島県＿道路設計マニュアル506580.pdf"	"軟弱路床に路盤を施工する場合、施工性が悪く、また、路盤材の食込み等によるロス率が高いため設計CBRは3以上が望ましい。3未満の場合は、**フィルター層を厚くする**などの対策を施すことが必要である。[42]"
"片持版端部のT荷重による設計曲げモーメントは、9.2.3に規定する一般部の曲げモーメントと比較してどの程度の値とすべきですか？"	"有限要素法による解析等により、9.2.3に規定する一般部の曲げモーメントの2倍程度となることがわかっているため、その値を2倍にする必要があります。"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"	"国総研＿舗装設計ks0285004.pdf"	"必要アスファルト等値換算舗装厚」の算定は式 (8) によるものとする[54], [55]。$T_{A}=rac{3.84N^{0.16}}{CBR^{0.3}}$ (8)...ここに、**$T_{A}$**:必要アスファルト等値換算舗装厚(cm)、**N**:設計供用期間における設計荷重の作用回数 n を49kN 輪荷重に換算した数値で、式(9)によるものとした[54], [55]。**CBR**:路床の設計CBR[54], [55]。"	"国総研＿舗装設計ks0285004.pdf"	"アスファルト舗装の設計においては、交通荷重が舗装の破壊に及ぼす程度はその荷重の大きさの**4乗**に比例するとの考えのもと、すべての輪荷重を**49kN** (5tf) の輪数に換算した値が設計条件として考慮される[44], [45]。"	"アスファルト舗装材料の種別と特性"	"荷重支持機構|各層のたわみ性による荷重分散（Flexible Pavement）|コンクリート版の曲げ剛性による支持（Rigid Pavement）...設計期間|原則として10年（長寿命化設計では20年）3|原則として20年3"
"床版の疲労に対する耐久性能において、設計耐久期間は何年とされていますか？"	"設計耐久期間は100年とされています。"	"国総研＿舗装設計ks0285004.pdf"	"コンクリート版厚は，設計期間において，輪荷重によりコンクリート版に生じる応力の繰り返し作用に対して，舗装の破壊規準として設定される疲労度が１以下を満足するように設計している。[5, 6]"	"アスファルト舗装材料の種別と特性"	"荷重支持機構|各層のたわみ性による荷重分散（Flexible Pavement）|コンクリート版の曲げ剛性による支持（Rigid Pavement）...設計期間|原則として10年（長寿命化設計では20年）3|原則として20年3"	"福島県＿道路設計マニュアル506580.pdf"	"アスファルト舗装の設計期間を20年(20年設計)とする場合の疲労破壊輪数は、原則としてN5~N7交通に適用する。[6]"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"1)の疲労破壊輪数は、舗装の設計期間が10年以外である場合においては、1)の表の右欄に掲げる値に、当該設計期間の10年に対する割合を乗じた値以上とするものとする。[19]"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"1)の疲労破壊輪数は、舗装の設計期間が10年以外である場合においては、1)の表の右欄に掲げる値に、当該設計期間の**10年に対する割合を乗じた値以上**とするものとする。[19]"
"Q1: 桁と床版の接合部における限界状態1とは、どのような状態を指しますか？"	"A1: 桁と床版の接合部に生じるせん断応力が、弾性範囲内に留まる限界の状態を指します。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"区 分 屯線の幅員(屯位メートル)... 第1種... 第 1 級 **3.5**... ただし,第1棟第1級若しくは第2級... の普通道路にあっては,交通の状況により必要がある場合においては,IN|欄に掲げる値に**0.25 メ ートルを加えた値**とすることができる。 [7]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"区 分 中央帯に設け§側帯の幅員(単位メー| 、ル)... 第 1 種<br>第 1 級 **0.75 0.25** [12]"	"国総研＿舗装設計ks0285004.pdf"	"$sigma$: コンクリート版の直角隅角部の最大応力度 $(N/mm^{2})$"	"02_道路幅員（愛知_設計手引き）.pdf"	"(3) 橋梁部の幅員について... (a) 橋梁部の幅員は, **L=100m 以上の場合に設定**する。なお、自転車道,自転車通行帯又は自転車歩行者道を設けない道路においては, L=100m以上であっても**路肩幅員の縮小を行わないことを基本**とする。 [21]"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"2. 特に以下に示すような組合せは避けることが望ましい。
¢1)**急な平面曲線と急な縦断勾配を組合せた線形**とすること
(2) **下り勾配で直線の先に急な平面曲線を接続すること**
(3) **凸形縦断曲線の頂部または凹形縦断曲線の底部に急な平面曲 線を入れること**
¢4)凸形縦断曲線の頂部または凹形縦断曲線の底部に背向曲線の 変曲点を配すること
(5) 一つの平面曲線内または一つの直線内で縦断線形が凹凸を繰 り返すこと
(6) 平面線形が長い直線となる区間に凹形縦断曲線を入れること"
"QQQ は合成断面の図心軸に関する床版の断面一次モーメント、b は桁と床版の接合面における橋軸直角方向の幅、I は合成断面の図心軸に関する合成断面の断面二次モーメントを示します。"	"A2: 式(11.3.2)は τ = VQ / (bI) であり、ここで τ はせん断応力度、V は桁断面に生じるせん断力、Q は合成断面の図心軸に関する床版の断面一次モーメント、b は桁と床版の接合面における橋軸直角方向の幅、I は合成断面の図心軸に関する合成断面の断面二次モーメントを示します。"	"04_舗装（愛知_設計手引き）.pdf"	"路床は、舗装の厚さを決定する基盤となるもので、路床土の支持力は**CBRによって判定する**。"	"10_トンネル（愛知_設計手引き）.pdf"	"縦断勾配の変化点には、極力大半径の縦断曲線を入れるものとする。"	"福島県＿道路設計マニュアル506580.pdf"	"路面の横断勾配は**0.5%を標準**とする。[42]"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"区分は、基層・中間層・表層1層当りは平均仕上り厚、平均幅員、規格、瀝青材料種類とし、アスカーブは断面積、規格とする。[61]"	"国総研＿舗装設計ks0285004.pdf"	"アスファルト舗装の舗装構成は，図- 2 に示すように路床上に路盤，アスファルト層（表層，基層）を配置した断面構造を有している。[41]"
"Q3: 桁と床版の接合面のコンクリート付着強度について、洗い出し仕上げを前提とした場合の抵抗係数はいくつとされていますか？"	"A3: 洗い出し仕上げを前提とし、様々なばらつきを考慮して0.65とされています。"	"国総研＿舗装設計ks0285004.pdf"	"表-A. 2 コンクリート版厚の参考値|荷重の区分: CP4|コンクリート<br>版厚 (cm): **35**|"	"国総研＿舗装設計ks0285004.pdf"	"コンクリート版の曲げ強度は、一般に材令28日で450N/cm²とする。[50, 51]"	"04_舗装（愛知_設計手引き）.pdf"	"表3.15 等值換算係数
上層路盤
瀝青安定処理
加熱混合
安定度 [50回突固め] 3.43 kN 以上
**1.00**"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"
"Q4: 桁と床版の温度差や乾燥収縮差によって接合面に生じるせん断応力度は、どのような式（解11.3.1）で求められますか？"	"AAA は主桁の間隔、b は接合面における橋軸直角方向の幅を示します。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"	"10_トンネル（愛知_設計手引き）.pdf"	"表3.1 トンネル断面の拡幅が不必要な曲線の最小半径の例
3種1級 80 110 3.50 **670**"	"国総研＿舗装設計ks0285004.pdf"	"設定した断面のアスファルト等値換算舗装厚 $T_{A}^{prime}$ の算定は式 (10) によるものとした。[54], [55]"	"04_舗装（愛知_設計手引き）.pdf"	"CBRが3未満の場合、安定処理した層の下から 20cm については、在来路床と安定した層のCBRの値の平均値を設計に用いる。なおCBRが3以上の場合は、このような低減は行なわない。"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"
"Q5: 式(11.3.2)および式(解11.3.1)における、桁と床版の接合面における橋軸直角方向の幅bには何が用いられますか？"	"A5: 上フランジ幅が用いられます。上フランジ側面が上面と同等に仕上げられている場合は、その接合面の長さもbに加えてもよいとされています。"	"02_道路幅員（愛知_設計手引き）.pdf"	"(3) 橋梁部の幅員について... (a) 橋梁部の幅員は, **L=100m 以上の場合に設定**する。なお、自転車道,自転車通行帯又は自転車歩行者道を設けない道路においては, L=100m以上であっても**路肩幅員の縮小を行わないことを基本**とする。 [21]"	"06_交通安全（愛知_設計手引き）.pdf"	"表 3.3 踊り場の踏み幅
| | 階段 | | 斜路付階段 |
| ------ | ------ | ------ | ------ |
| 直階段の場合 | 1.2m | | **1.7m** |
| その他の場合 | | 階段の幅員 | |"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-2.pdf"	"4横断歩道橋等又は路上施設を段ける歩道の幅員については,前項に規定する幅員の値に横断歩道橋等を設ける場合にあっては3 メートル,ベンチの上屋を設ける場合にあっては2 メートル,**並木を設ける場合にあっては 1.5 メートル**,ベンチを設ける場合にあつては1メートル,その他の場合 にあつては0.5 メー トルを加えて同項の規定を適用するものとする。 [15]"	"国総研＿舗装設計ks0285004.pdf"	"設定した断面のアスファルト等値換算舗装厚 $T_{A}^{prime}$ の算定は式 (10) によるものとした。[54], [55]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"区 分 屯線の幅員(屯位メートル)... 第1種... 第 1 級 **3.5**... ただし,第1棟第1級若しくは第2級... の普通道路にあっては,交通の状況により必要がある場合においては,IN|欄に掲げる値に**0.25 メ ートルを加えた値**とすることができる。 [7]"
"Q6: 合成桁接合面のせん断伝達に関わる応力度の制限値の算定において、ずれ止め鉄筋は考慮されますか？"	"A6: 考慮されません。ずれ止め鉄筋はせん断力による桁と床版との付着切れの抑制には寄与せず、限界状態1を超えないとみなせる条件での合成挙動が担保されないためです。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"国総研＿舗装設計ks0285004.pdf"	"設定した断面のアスファルト等値換算舗装厚 $T_{A}^{prime}$ の算定は式 (10) によるものとした。[54], [55]"	"562458.pdf"	"※2 **経済性,現場条件及び占用物件の状況等**を考慮の上、**路盤材に鉄鋼スラグを用いることができる**。"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"1)の疲労破壊輪数は、舗装の設計期間が10年以外である場合においては、1)の表の右欄に掲げる値に、当該設計期間の10年に対する割合を乗じた値以上とするものとする。[19]"
"Q7: 桁と床版との接合部における限界状態3とは、どのような状態と考えられますか？"	"A7: 桁と床版とのずれが増大することで合成桁としての抵抗機構が損なわれ、せん断力に対する耐荷力を喪失する限界の状態と考えられています。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"区 分 中央帯の幅員(単位メートル)... 第3種<br>第1級 **1,75 1**... 第3 種<br>第1級 0.25 [12]"	"04_舗装（愛知_設計手引き）.pdf"	"CBRが3未満の場合、安定処理した層の下から 20cm については、在来路床と安定した層のCBRの値の平均値を設計に用いる。なおCBRが3以上の場合は、このような低減は行なわない。"	"04_舗装（愛知_設計手引き）.pdf"	"路床の設計 CBRが**3未満**の場合は軟弱路床対策を行なうこととする。"	"福島県＿道路設計マニュアル506580.pdf"	"設計CBRは、区間のCBRから表2-1-7により求める。[37]"
"Q8: 桁と床版の接合部に配置されるスターラップ及びずれ止め鉄筋の最小配置比は、どのように規定されていますか？"	"A8: 接合面の面積に対する比が式(11-3.3)の値以上、かつ0.2%以上となるように配置し、桁から接合面に垂直に突出させ、床版まで貫通させて十分な定着を行う必要があります。"	"562458.pdf"	"※2 **経済性,現場条件及び占用物件の状況等**を考慮の上、**路盤材に鉄鋼スラグを用いることができる**。"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"国総研＿舗装設計ks0285004.pdf"	"路床の設計CBRが2以上3未満の場合は、**必要に応じ良質の材料で置き換えるか遮断層を設ける**、また、2未満の場合は、置き換えて舗装厚さを別途設定する。[56], [57]"	"アスファルト舗装材料の種別と特性.docx"	"鉄鋼スラグ（HMS）: ...水和反応による膨張（ポップアウト）のリスクがあるため、**蒸気エージング等により膨張比を1.5%以下（最新規格では1.0%以下）に抑制した処理済みスラグを使用する**ことがJIS A 5015で義務付けられている[35]。"
"Q9: 桁の上フランジの一部を床版に埋め込む場合、桁の上の床版の最小厚さは何mmとされていますか？"	"A9: 桁の上フランジの一部を床版に埋め込む場合、桁の上の床版の最小厚さは150mmとされています。"	"国総研＿舗装設計ks0285004.pdf"	"表-A. 2 コンクリート版厚の参考値|荷重の区分: CP4|コンクリート<br>版厚 (cm): **35**|"	"福島県＿道路設計マニュアル506580.pdf"	"最小可能施工厚さは仕上がり厚で、骨材最大粒径が**20mmの場合5cm**、骨材最大粒径が**13mmの場合4cm**を標準とする[18]。"	"04_舗装（愛知_設計手引き）.pdf"	"表3.11 表層と基層の最小厚(交通区分 N7~N5)
交通区分：N6
表層と基層を加えた最小厚さ(cm)：15 (10) (※)
[※] ( )内は、**上層路盤に瀝青安定処理工法およびセメント・瀝青安定処理工法を用いる場合の最小厚さ**を示す。"	"04_舗装（愛知_設計手引き）.pdf"	"安定処理工法において、一層の処理厚は原則として何cmまでとするか？
回答：A: 60cmまでとする。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"
"Q10: コンクリートアーチ構造は、構造力学的にどのように区分されますか？"	"A10: 固定アーチ、1ヒンジアーチ、2ヒンジアーチ、3ヒンジアーチに区分されます。"	"国総研＿舗装設計ks0285004.pdf"	"表-A. 2 コンクリート版厚の参考値|荷重の区分: CP4|コンクリート<br>版厚 (cm): **35**|"	"アスファルト舗装材料の種別と特性"	"荷重支持機構|各層のたわみ性による荷重分散（Flexible Pavement）|コンクリート版の曲げ剛性による支持（Rigid Pavement）[7]...維持修繕|簡易な工法（切削オーバーレイ等）で補修可能であり、埋設管工事等の復旧も容易|大規模な打ち替えが必要となり、維持修繕や埋設物対応が困難[7]"	"福島県＿道路設計マニュアル506580.pdf"	"設計区分 II: 透水性インターロッキングブロック **10cm**、サンドクッション (砂) **3cm**、路盤(粒状路盤) **15cm**、フィルター層(砂) **10cm**[48]"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"TIN分割等を用いて求積する方法... 現況地形や出来形計測結果等(出来形計測データ、起工測量計測データ) からそれぞれの面<br>データとしてTINからなる面データを作成したうえで、ある一定の標高値にてDL面(標<br>高基準面)を設定し、各TINの水平投影面積と、TINを構成する各点からDL面までの<br>高低差の平均(平均高低差)を乗じた体積を総和する... $$V=A\times\frac{(h1+h2+h3)}{3}$$"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"
"Q11: アーチリブの軸線は、設計の基本として何に一致させることが標準とされていますか？"	"A11: 荷重による圧力線に一致させることを標準とします。"	"福島県＿道路設計マニュアル506580.pdf"	"設計CBRは、区間のCBRから表2-1-7により求める。[37]"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"2. 特に以下に示すような組合せは避けることが望ましい。
¢1)**急な平面曲線と急な縦断勾配を組合せた線形**とすること
(2) **下り勾配で直線の先に急な平面曲線を接続すること**
(3) **凸形縦断曲線の頂部または凹形縦断曲線の底部に急な平面曲 線を入れること**
¢4)凸形縦断曲線の頂部または凹形縦断曲線の底部に背向曲線の 変曲点を配すること
(5) 一つの平面曲線内または一つの直線内で縦断線形が凹凸を繰 り返すこと
(6) 平面線形が長い直線となる区間に凹形縦断曲線を入れること"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"区分は、基層・中間層・表層1層当りは平均仕上り厚、平均幅員、規格、瀝青材料種類とし、アスカーブは断面積、規格とする。[61]"	"道路構造令の解説と運用（令和3年）_R3年3月-13.pdf"	"道路線形の連続性を考慮することが必要となる。特に長距離トリッブの多い主要幹 線道路においては,運転者は疲労により線形の急変に対しての挙動が鈍ることを 考慮し,特に注意を払う必要がある。原則として,畏いiH線の終端に小さな曲線部を設けるようなことはすべきでな いし,大きな半径の曲線部から小さな曲線部へ急激に変化するような線形も設け るべきではない。この場合,道路構造令上許されるということだけでよいとする ことは厳に避ける必要がある。道路構造令は設計速度を維持して走行する車両に 対しての安全を保障するものであるが,前後の線形と運転者の人間としての一般 的性向からくる設計速度を超過する可能性に対しては,設計者の技術的な判断を 加えて予想される危険を避けるのが正しい運用であることを念頭に入れるべきで ある。"	"アスファルト舗装材料の種別と特性"	"設計上の注意点 : 母体空隙率が低すぎると（**20%以下**）、**セメントミルクが十分に浸透せず**、層内で**剥離や破損が生じるリスク**があるため、配合設計と施工管理が重要である2。"
